,ticker,date,trade
906,ESQ,2023-04-04,
907,ESRT,2023-04-04,
908,ESS,2023-04-04,
909,ESSA,2023-04-04,
910,ESTA,2023-04-04,0.0
911,ESTC,2023-04-04,0.0
912,ESTE,2023-04-04,0.0
913,ET,2023-04-04,
914,ETD,2023-04-04,
915,ETN,2023-04-04,
916,ETNB,2023-04-04,
917,ETR,2023-04-04,
918,ETRN,2023-04-04,
919,ETSY,2023-04-04,
920,ETWO,2023-04-04,
921,EVA,2023-04-04,0.0
922,EVBG,2023-04-04,
923,EVBN,2023-04-04,
924,EVC,2023-04-04,
925,EVCM,2023-04-04,
926,EVER,2023-04-04,
927,EVEX,2023-04-04,
928,EVH,2023-04-04,
929,EVI,2023-04-04,
930,EVR,2023-04-04,
931,EVRG,2023-04-04,
932,EVRI,2023-04-04,
933,EVTC,2023-04-04,
934,EW,2023-04-04,
935,EWBC,2023-04-04,
936,EWCZ,2023-04-04,
937,EWTX,2023-04-04,
938,EXAS,2023-04-04,
939,EXC,2023-04-04,
940,EXEL,2023-04-04,
941,EXFY,2023-04-04,
942,EXLS,2023-04-04,
943,EXP,2023-04-04,
944,EXPD,2023-04-04,
945,EXPE,2023-04-04,
946,EXPI,2023-04-04,
947,EXPO,2023-04-04,
948,EXR,2023-04-04,
949,EXTR,2023-04-04,
950,EYE,2023-04-04,
951,EZPW,2023-04-04,
